Species_1	Protein_1	Domain_1	Species_2	Protein_2	Domain_2	E-value	Weight	Relationship
UP000000803_7227.fasta	tr|A0A0B4K7J3|A0A0B4K7J3_DROME	dom1_276_565	UP000000589_10090.fasta	sp|P37172|ACVR1_MOUSE	dom1_208_505	1.85975804878e-158	1.24809460437	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KF69|A0A0B4KF69_DROME	dom2_601_763	UP000000589_10090.fasta	sp|O70551|SRPK1_MOUSE	dom1_80_646	2.65894716006e-88	0.692968177431	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KFP5|A0A0B4KFP5_DROME	dom1_66_338	UP000000589_10090.fasta	sp|Q641K5|NUAK1_MOUSE	dom1_55_319	1.78482492139e-121	0.955461311404	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KG35|A0A0B4KG35_DROME	dom1_7619_7896	UP000000589_10090.fasta	sp|Q6PDN3|MYLK_MOUSE	dom1_1481_1741	1.14930413729e-107	0.846194345757	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KG59|A0A0B4KG59_DROME	dom1_202_489	UP000000589_10090.fasta	sp|P27038|AVR2A_MOUSE	dom1_192_481	2.9499830508e-136	1.07242695787	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KG66|A0A0B4KG66_DROME	dom1_327_591	UP000000589_10090.fasta	sp|P35761|TTK_MOUSE	dom1_524_835	7.45508551259e-68	0.531168712101	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHC3|A0A0B4KHC3_DROME	dom1_541_829	UP000000589_10090.fasta	sp|Q8K1Y2|KPCD3_MOUSE	dom1_573_840	1.28903064355e-171	1.35222103206	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHL4|A0A0B4KHL4_DROME	dom1_62_336	UP000000589_10090.fasta	sp|Q8C4X2|KC1G3_MOUSE	dom1_43_314	1.47996621583e-169	1.33592069765	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHT3|A0A0B4KHT3_DROME	dom1_1796_2094	UP000000589_10090.fasta	sp|Q3UHC2|LRRK1_MOUSE	dom1_1241_1525	2.95917218154e-50	0.391913093034	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHX7|A0A0B4KHX7_DROME	dom2_525_900	UP000000589_10090.fasta	sp|Q9QZ05|E2AK4_MOUSE	dom2_589_1000	8.10416559554e-91	0.712876862849	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K026|A0A4D6K026_DROME	dom1_763_1036	UP000000589_10090.fasta	sp|Q5SDA5|GUC2F_MOUSE	dom1_524_811	1.14428143391e-83	0.656301533583	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K823|A0A4D6K823_DROME	dom1_37_329	UP000000589_10090.fasta	sp|O54949|NLK_MOUSE	dom1_138_427	1e-200	1.58256552759	Ortholog
