Species_1	Protein_1	Species_2	Protein_2	E-value	Weight	Relationship
UP000000803_7227.fasta	tr|A0A0B4K7J3|A0A0B4K7J3_DROME	UP000000589_10090.fasta	sp|P37172|ACVR1_MOUSE	3.79644570618e-178	1.21997477156	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KF69|A0A0B4KF69_DROME	UP000000589_10090.fasta	sp|O54781|SRPK2_MOUSE	6.46962131813e-91	0.620155936319	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KFP5|A0A0B4KFP5_DROME	UP000000589_10090.fasta	sp|Q641K5|NUAK1_MOUSE	7.88309583856e-114	0.777717800185	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KG59|A0A0B4KG59_DROME	UP000000589_10090.fasta	sp|P27040|AVR2B_MOUSE	1.24040316027e-148	1.01703014567	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KG66|A0A0B4KG66_DROME	UP000000589_10090.fasta	sp|P35761|TTK_MOUSE	1.84488482025e-59	0.403865315117	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHC3|A0A0B4KHC3_DROME	UP000000589_10090.fasta	sp|Q8K1Y2|KPCD3_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHL4|A0A0B4KHL4_DROME	UP000000589_10090.fasta	sp|Q8BTH8|KC1G1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHT3|A0A0B4KHT3_DROME	UP000000589_10090.fasta	sp|Q3UHC2|LRRK1_MOUSE	3.98913524464e-57	0.387810075075	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHX7|A0A0B4KHX7_DROME	UP000000589_10090.fasta	sp|Q9QZ05|E2AK4_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K026|A0A4D6K026_DROME	UP000000589_10090.fasta	sp|Q5SDA5|GUC2F_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K823|A0A4D6K823_DROME	UP000000589_10090.fasta	sp|O54949|NLK_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K881|A0A4D6K881_DROME	UP000000589_10090.fasta	sp|Q8BKC8|PI4KB_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A1Z6G6|A1Z6G6_DROME	UP000000589_10090.fasta	sp|Q9DBQ7|PACE1_MOUSE	4.12756586864e-57	0.38770820285	Ortholog
UP000000803_7227.fasta	tr|A1Z6I7|A1Z6I7_DROME	UP000000589_10090.fasta	sp|O08901|BUB1_MOUSE	1.91057582943e-49	0.334999108554	Ortholog
