Species_1	Protein_1	Domain_1	Species_2	Protein_2	Domain_2	E-value_Full	E-value_Domain	Weight_Full	Weight_Domain	Relationship
UP000000803_7227.fasta	tr|A0A0B4K7J3|A0A0B4K7J3_DROME	dom1_276_565	UP000000589_10090.fasta	sp|P37172|ACVR1_MOUSE	dom1_208_505	3.79644570618e-178	1.85975804878e-158	1.21997477156	1.24809460437	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KFP5|A0A0B4KFP5_DROME	dom1_66_338	UP000000589_10090.fasta	sp|Q641K5|NUAK1_MOUSE	dom1_55_319	7.88309583856e-114	1.78482492139e-121	0.777717800185	0.955461311404	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KG66|A0A0B4KG66_DROME	dom1_327_591	UP000000589_10090.fasta	sp|P35761|TTK_MOUSE	dom1_524_835	1.84488482025e-59	7.45508551259e-68	0.403865315117	0.531168712101	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHC3|A0A0B4KHC3_DROME	dom1_541_829	UP000000589_10090.fasta	sp|Q8K1Y2|KPCD3_MOUSE	dom1_573_840	1e-200	1.28903064355e-171	1.37523445952	1.35222103206	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHT3|A0A0B4KHT3_DROME	dom1_1796_2094	UP000000589_10090.fasta	sp|Q3UHC2|LRRK1_MOUSE	dom1_1241_1525	3.98913524464e-57	2.95917218154e-50	0.387810075075	0.391913093034	Ortholog
UP000000803_7227.fasta	tr|A0A0B4KHX7|A0A0B4KHX7_DROME	dom2_525_900	UP000000589_10090.fasta	sp|Q9QZ05|E2AK4_MOUSE	dom2_589_1000	1e-200	8.10416559554e-91	1.37523445952	0.712876862849	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K026|A0A4D6K026_DROME	dom1_763_1036	UP000000589_10090.fasta	sp|Q5SDA5|GUC2F_MOUSE	dom1_524_811	1e-200	1.14428143391e-83	1.37523445952	0.656301533583	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K823|A0A4D6K823_DROME	dom1_37_329	UP000000589_10090.fasta	sp|O54949|NLK_MOUSE	dom1_138_427	1e-200	1e-200	1.37523445952	1.58256552759	Ortholog
UP000000803_7227.fasta	tr|A0A4D6K881|A0A4D6K881_DROME	dom1_1385_1674	UP000000589_10090.fasta	sp|Q8BKC8|PI4KB_MOUSE	dom1_529_816	1e-200	3.78998680736e-141	1.37523445952	1.11113003658	Ortholog
UP000000803_7227.fasta	tr|A1Z6G6|A1Z6G6_DROME	dom1_65_248	UP000000589_10090.fasta	sp|Q9DBQ7|PACE1_MOUSE	dom1_11_245	4.12756586864e-57	2.29296750958e-20	0.38770820285	0.155404786287	Ortholog
