------------------------------------------------------------------------------------------------------------------------------------------------------------------
Domain GRAPH
Species_1	Protein_1	Domain_1	Species_2	Protein_2	Domain_2	E-value_Domain	Weight_Domain	Relationship_domain
------------------------------------------------------------------------------------------------------------------------------------------------------------------
UP000005640_9606.fasta	sp|Q9BWU1|CDK19_HUMAN	dom1-20-335	UP000000803_7227.fasta	sp|Q9VT57|CDK8_DROME	dom1-21-335	0.0	1.3887478330521312	Ortholog
UP000000589_10090.fasta	sp|C0HKC9|SMK3B_MOUSE	dom1-22-308	UP000000589_10090.fasta	sp|Q9QYZ4|SMOK1_MOUSE	dom1-8-288	2.06e-177	1.3387089922204414	In_Paralog
UP000000803_7227.fasta	tr|Q8MSQ4|Q8MSQ4_DROME	dom1-1280-1542	UP000005640_9606.fasta	sp|Q9Y6R4|M3K4_HUMAN	dom1-1339-1601	1.08e-116	0.8052416573302114	Ortholog
UP000000803_7227.fasta	tr|O46308|O46308_DROME	dom1-2-276	UP000005640_9606.fasta	sp|Q6P3R8|NEK5_HUMAN	dom1-3-279	4.19e-40	0.2734290747299808	Ortholog
UP000000589_10090.fasta	sp|Q922Y0|DYRK3_MOUSE	dom1-208-521	UP000000803_7227.fasta	sp|P83102|DYRK3_DROME	dom1-276-589	4.12e-165	1.1414472763864292	Ortholog
UP000000589_10090.fasta	sp|P24788|CD11B_MOUSE	dom1-427-712	UP000005640_9606.fasta	sp|P21127|CD11B_HUMAN	dom1-438-723	0.0	1.3887478330521312	Ortholog
UP000000803_7227.fasta	tr|Q9VGF9|Q9VGF9_DROME	dom1-149-409	UP000005640_9606.fasta	sp|O14965|AURKA_HUMAN	dom1-128-391	1.76e-124	0.8593188805652526	Ortholog
UP000000589_10090.fasta	tr|A0A087WSA6|A0A087WSA6_MOUSE	dom1-25-296	UP000005640_9606.fasta	sp|Q96L34|MARK4_HUMAN	dom1-56-321	3.27e-77	0.5310950303425265	Ortholog
UP000000589_10090.fasta	sp|Q9ERH7|HIPK3_MOUSE	dom1-197-525	UP000005640_9606.fasta	sp|Q9H422|HIPK3_HUMAN	dom1-197-525	0.0	1.3887478330521312	Ortholog
UP000000803_7227.fasta	tr|Q9VZI2|Q9VZI2_DROME	dom1-122-388	UP000005640_9606.fasta	sp|Q07912|ACK1_HUMAN	dom1-125-387	1.54e-132	0.9152714748408366	Ortholog
UP000000589_10090.fasta	sp|Q3U214|MAST3_MOUSE	dom1-371-662	UP000000803_7227.fasta	tr|Q9VUQ9|Q9VUQ9_DROME	dom1-835-1110	2.77e-161	1.1148695415046774	Ortholog
UP000000803_7227.fasta	tr|Q9VL34|Q9VL34_DROME	dom1-691-960	UP000000803_7227.fasta	sp|Q03042|KGP1_DROME	dom1-454-727	1.19e-110	0.8328715526941587	In_Paralog
UP000000589_10090.fasta	sp|Q8K592|AMHR2_MOUSE	dom1-199-502	UP000000803_7227.fasta	tr|M9PE88|M9PE88_DROME	dom1-224-527	7.01e-58	0.3968644262609964	Ortholog
UP000000803_7227.fasta	sp|P54367|KC1A_DROME	dom1-20-286	UP000005640_9606.fasta	sp|P48729|KC1A_HUMAN	dom1-17-283	2.81e-171	1.1842636976123473	Ortholog
UP000000589_10090.fasta	sp|O08644|EPHB6_MOUSE	dom1-663-914	UP000005640_9606.fasta	sp|O15197|EPHB6_HUMAN	dom1-668-921	4.22e-169	1.1691499123727833	Ortholog
UP000005640_9606.fasta	sp|P37173|TGFR2_HUMAN	dom1-244-540	UP000000803_7227.fasta	tr|A0A0B4KG59|A0A0B4KG59_DROME	dom1-202-489	5.40e-83	0.5712447994821592	Ortholog
UP000000589_10090.fasta	sp|C0HKC9|SMK3B_MOUSE	dom1-22-308	UP000000589_10090.fasta	sp|Q8C0X8|SMKX_MOUSE	dom1-14-307	6.38e-82	0.6151966482730005	In_Paralog
UP000000589_10090.fasta	sp|Q6PD10|IP6K1_MOUSE	dom1-207-426	UP000005640_9606.fasta	sp|Q92551|IP6K1_HUMAN	dom1-207-434	8.43e-156	1.0767946045904624	Ortholog
